transaction_id,transaction_day,transaction_month,transaction_year,transaction_time,transaction_qty,store_id,product_id,unit_price,product_category,product_type,product_detail
60,1,1,2023,9:29:56,1,8,74,3.5,Bakery,Biscotti,Ginger Biscotti
75,1,1,2023,9:53:44,1,8,72,3.25,Bakery,Scone,Ginger Scone
103,1,1,2023,10:52:44,1,8,73,3.75,Bakery,Pastry,Almond Croissant
132,1,1,2023,11:29:57,1,8,78,4.5,Bakery,Scone,Scottish Cream Scone 
147,1,1,2023,11:49:42,1,8,72,3.25,Bakery,Scone,Ginger Scone
219,1,1,2023,13:02:40,1,8,78,4.5,Bakery,Scone,Scottish Cream Scone 
223,1,1,2023,13:04:01,1,8,72,3.25,Bakery,Scone,Ginger Scone
236,1,1,2023,13:19:09,1,8,75,3.5,Bakery,Pastry,Croissant
285,1,1,2023,14:08:03,1,8,71,3.75,Bakery,Pastry,Chocolate Croissant
294,1,1,2023,14:23:28,1,8,71,3.75,Bakery,Pastry,Chocolate Croissant
320,1,1,2023,14:47:29,1,8,75,3.5,Bakery,Pastry,Croissant
431,1,1,2023,17:19:49,1,8,78,4.5,Bakery,Scone,Scottish Cream Scone 
433,1,1,2023,17:20:02,1,8,77,3,Bakery,Scone,Oatmeal Scone
439,1,1,2023,17:26:15,1,8,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
457,1,1,2023,17:46:21,1,8,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
466,1,1,2023,17:59:44,1,8,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
514,1,1,2023,18:56:35,1,8,73,3.75,Bakery,Pastry,Almond Croissant
531,1,1,2023,19:24:18,1,8,77,3,Bakery,Scone,Oatmeal Scone
572,2,1,2023,8:11:11,1,8,74,3.5,Bakery,Biscotti,Ginger Biscotti
596,2,1,2023,9:11:10,1,8,79,3.75,Bakery,Scone,Jumbo Savory Scone
599,2,1,2023,9:11:57,1,8,72,3.25,Bakery,Scone,Ginger Scone
608,2,1,2023,9:29:47,1,8,70,3.25,Bakery,Scone,Cranberry Scone
626,2,1,2023,10:03:39,1,8,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
690,2,1,2023,11:42:36,1,8,72,3.25,Bakery,Scone,Ginger Scone
702,2,1,2023,11:56:58,1,8,78,4.5,Bakery,Scone,Scottish Cream Scone 
704,2,1,2023,11:58:49,1,8,71,3.75,Bakery,Pastry,Chocolate Croissant
764,2,1,2023,13:03:14,1,8,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
773,2,1,2023,13:10:17,1,8,78,4.5,Bakery,Scone,Scottish Cream Scone 
805,2,1,2023,13:48:27,1,8,73,3.75,Bakery,Pastry,Almond Croissant
